Make,Model,Ex-Showroom_Price,Displacement,Cylinders,Engine_Location,Fuel_Tank_Capacity,Fuel_Type,Body_Type,Type
Jeep,Compass Trailhawk,2760000,1956,4.0,"Front, Longitudinal",60.0,Diesel,SUV,Automatic
Isuzu,Mu-X,2734834,2999,4.0,"Front, Longitudinal",76.0,Diesel,SUV,Automatic
Isuzu,Mu-X,2931534,2999,4.0,"Front, Longitudinal",76.0,Diesel,SUV,Automatic
Mahindra,Alturas G4,2770150,2157,4.0,"Front, Transverse",70.0,Diesel,0,Automatic
Mahindra,Alturas G4,3070150,2157,4.0,"Front, Transverse",70.0,Diesel,SUV,Automatic
Volkswagen,Tiguan,2814500,1968,4.0,0,71.0,Diesel,SUV,Automatic
Volkswagen,Tiguan,3153500,1968,4.0,0,71.0,Diesel,SUV,Automatic
Honda,Cr-V,2827001,1997,4.0,"Front, Transverse",57.0,Petrol,SUV,Automatic
Honda,Cr-V,3067001,1597,0.0,"Front, Transverse",57.0,Diesel,SUV,Automatic
Honda,Cr-V,3277001,1597,0.0,"Front, Longitudinal",57.0,Diesel,SUV,Automatic
Skoda,Superb Sportline,2899599,1798,4.0,"Front, Transverse",66.0,Petrol,Sedan,Automatic
Skoda,Superb Sportline,3149599,1968,4.0,"Front, Transverse",66.0,Diesel,Sedan,Automatic
Audi,A3,3021200,1968,4.0,"Front, Transverse",50.0,Diesel,Sedan,Automatic
Audi,A3,3221200,1968,4.0,"Front, Transverse",50.0,Diesel,Sedan,Automatic
Audi,A3,2920750,1395,4.0,"Front, Transverse",50.0,Petrol,Sedan,Automatic
Audi,A3,3120750,1395,4.0,"Front, Transverse",50.0,Petrol,Sedan,Automatic
Mercedes,Mercedes-Benz B-Class,2988311,1595,4.0,"Front, Transverse",50.0,Petrol,MPV,Automatic
Mercedes,Mercedes-Benz B-Class,3089851,2143,4.0,"Front, Transverse",50.0,Diesel,MPV,Automatic
Mercedes,Mercedes-Benz B-Class,3198662,1595,4.0,"Front, Transverse",50.0,Petrol,MPV,Automatic
Mercedes,Mercedes-Benz B-Class,3303282,2143,4.0,"Front, Transverse",50.0,Diesel,MPV,Automatic
Mercedes,Mercedes-Benz Cla-Class,3599000,1991,4.0,"Front, Transverse",56.0,Petrol,Sedan,Automatic
Mercedes,Mercedes-Benz Cla-Class,3172000,2143,4.0,"Front, Transverse",56.0,Diesel,Sedan,Automatic
Mercedes,Mercedes-Benz Cla-Class,3699000,2143,4.0,"Front, Transverse",56.0,Diesel,Sedan,Automatic
Skoda,Kodiaq,3299599,1968,4.0,"Front, Transverse",66.0,Diesel,SUV,Automatic
Skoda,Kodiaq,3678599,1968,4.0,"Front, Transverse",66.0,Diesel,SUV,Automatic
Skoda,Kodiaq,3299599,1968,4.0,"Front, Transverse",66.0,Diesel,SUV,Automatic
Dc,Avanti,3407407,2000,4.0,"Rear Mid, Transverse",60.0,Petrol,Coupe,Manual
Audi,Q3,3677200,1968,4.0,"Front, Transverse",64.0,Diesel,SUV,Manual
Audi,Q3,3992200,1968,4.0,"Front, Transverse",64.0,Diesel,SUV,Automatic
Audi,Q3,4361000,1968,4.0,"Front, Transverse",64.0,Diesel,SUV,Automatic
Audi,Q3,3496750,1395,4.0,"Front, Transverse",64.0,Petrol,SUV,Automatic
Mini,Cooper 5 Door,3600000,1496,3.0,"Front, Transverse",44.0,Petrol,Hatchback,Automatic
Mini,Convertible,3830000,1998,4.0,"Front, Transverse",44.0,Petrol,Convertible,Automatic
Volvo,Xc40,3990000,1969,5.0,"Front, Longitudinal",0.0,Diesel,SUV,Automatic
Volvo,Xc40,4390000,1969,5.0,"Front, Longitudinal",0.0,Diesel,SUV,Automatic
Volvo,Xc40,3990000,1969,5.0,"Front, Longitudinal",54.0,Petrol,SUV,Automatic
Mini,Clubman,4120000,1998,4.0,"Front, Longitudinal",0.0,Petrol,Hatchback,Manual
Audi,A4,4149000,1395,4.0,"Front, Longitudinal",54.0,Petrol,Sedan,DCT
Audi,A4,4507000,1395,4.0,"Front, Longitudinal",54.0,Petrol,Sedan,DCT
Mini,John Cooper Works,4350000,1998,4.0,"Front, Transverse",44.0,Petrol,"Sports, Hatchback",Automatic
Jaguar,Xe,4498000,1997,4.0,"Front, Transverse",61.0,Petrol,Sedan,Automatic
Jaguar,Xe,4498000,1999,4.0,"Front, Transverse",56.0,Diesel,Sedan,Automatic
Jaguar,Xe,4633000,1999,4.0,"Front, Transverse",56.0,Diesel,Sedan,Automatic
Jaguar,Xe,4633000,1997,4.0,"Front, Transverse",61.0,Petrol,Sedan,Automatic
Jaguar,Xf,5436329,1999,4.0,"Front, Longitudinal",74.0,Petrol,Sedan,Automatic
Jaguar,Xf,6073446,1999,4.0,"Front, Longitudinal",82.0,Petrol,Sedan,Automatic
Jaguar,Xf,6138811,1999,4.0,"Front, Longitudinal",83.0,Diesel,Sedan,Automatic
Jaguar,Xf,5506622,1999,4.0,"Front, Longitudinal",66.0,Diesel,Sedan,Automatic
Jaguar,Xf,4977080,1999,4.0,"Front, Longitudinal",66.0,Diesel,Sedan,Automatic
Audi,A3 Cabriolet,5038000,1395,4.0,"Front, Longitudinal",50.0,Petrol,Convertible,Automatic
Audi,A6,5442200,1984,4.0,"Front, Longitudinal",73.0,Petrol,Sedan,Automatic
Audi,A6,5942200,1984,4.0,"Front, Longitudinal",73.0,Petrol,Sedan,Automatic
Bmw,X3,5930000,1995,4.0,"Front, Longitudinal",67.0,Diesel,SUV,Automatic
Bmw,X3,5880000,1998,4.0,"Front, Longitudinal",67.0,Petrol,SUV,Automatic
Bmw,X3,5600000,1995,4.0,"Front, Longitudinal",67.0,Diesel,SUV,Automatic
Land Rover,Discovery Sport,5706000,1999,4.0,"Front, Transverse",70.0,Diesel,SUV,Automatic
Land Rover,Discovery Sport,6089000,1999,4.0,"Front, Transverse",70.0,Diesel,SUV,Automatic
Volvo,S90,5890000,1969,4.0,"Front, Longitudinal",0.0,Diesel,Sedan,Automatic
Audi,S5,7243000,2995,6.0,"Front, Longitudinal",58.0,Petrol,Sedan,Automatic
Bmw,X5,7330000,2993,6.0,"Front, Longitudinal",0.0,Diesel,SUV,Automatic
Bmw,X5,8290000,2993,6.0,"Front, Longitudinal",0.0,Diesel,SUV,Automatic
Bmw,X5,8290000,2998,6.0,"Front, Longitudinal",0.0,Petrol,SUV,Automatic
